,Date,delta_price_X
0,2018-06-04,0.1630036311830012
1,2018-06-05,-0.12300751430406788
2,2018-06-06,0.044442551741759644
3,2018-06-07,0.00893759989561927
4,2018-06-08,-0.14551744204843037
5,2018-06-11,0.1932084752175558
6,2018-06-12,-0.07185324940941448
7,2018-06-13,-0.0075331818725337795
8,2018-06-14,0.0153184165232358
9,2018-06-15,0.005000847601288354
10,2018-06-18,0.07679851564476681
11,2018-06-19,-0.059024405526488924
12,2018-06-20,-0.00469452305643416
13,2018-06-21,0.013263531143373253
14,2018-06-22,-0.0965814364239613
15,2018-06-25,0.20992143248675316
16,2018-06-26,-0.2325314486778719
17,2018-06-27,0.08443360028334744
18,2018-06-28,-0.06737189722746408
19,2018-06-29,-0.11762874764100469
20,2018-07-02,0.12537208122946664
21,2018-07-03,-0.28546797546973884
22,2018-07-05,0.29126107104664234
23,2018-07-06,-0.02027988362956828
24,2018-07-09,0.18679556095023409
25,2018-07-10,-0.16981407751031888
26,2018-07-11,-0.0654039070749736
27,2018-07-12,0.16940894004660687
28,2018-07-13,-0.02540257648953301
29,2018-07-16,0.1572555661117766
30,2018-07-17,-0.0467054540262707
31,2018-07-18,-0.1004212299915754
32,2018-07-19,-0.01883415537657905
33,2018-07-20,-0.03332202095617868
34,2018-07-23,0.102029621503017
35,2018-07-24,-0.024888003982080638
36,2018-07-25,0.0054313425216947426
37,2018-07-26,0.3409150910826344
38,2018-07-27,-0.1486187677954807
39,2018-07-30,0.14609979542826648
40,2018-07-31,-0.1510833798969392
41,2018-08-01,-0.017497348886532343
42,2018-08-02,0.147477529448983
43,2018-08-03,-0.12952872109240698
44,2018-08-06,0.12555193292966932
45,2018-08-07,0.061095110404873046
46,2018-08-08,-0.19271507682708058
47,2018-08-09,0.003516840254294603
48,2018-08-10,-0.07625209404424932
49,2018-08-13,0.13361682613136555
50,2018-08-14,-0.12498391041318059
51,2018-08-15,0.12171647123103434
52,2018-08-16,-0.15556971036756717
53,2018-08-17,-0.025824200204108798
54,2018-08-20,0.15274424960145752
55,2018-08-21,-0.07205089199280874
56,2018-08-22,-0.08462848626783052
57,2018-08-23,0.044028375392487495
58,2018-08-24,0.10200944573159865
59,2018-08-27,0.310004649564356
60,2018-08-28,-0.10811394710039814
61,2018-08-29,-0.043445913211986986
62,2018-08-30,0.045328751017455
63,2018-08-31,-0.15661608208890657
64,2018-09-04,0.4121255642183012
65,2018-09-05,-0.008775625844508696
66,2018-09-06,-0.18241648710845315
67,2018-09-07,-0.07716303919107892
68,2018-09-10,0.11539806504254575
69,2018-09-11,-0.050649667328526146
70,2018-09-12,0.09353098741422963
71,2018-09-13,0.02239782564928528
72,2018-09-14,-0.09161620637030474
73,2018-09-17,0.07446347279427705
74,2018-09-18,-0.024630955983725073
75,2018-09-19,0.12152448589109338
76,2018-09-20,-0.10203956165562608
77,2018-09-21,-0.002601670546350815
78,2018-09-24,0.12340403624382208
79,2018-09-25,-0.10059117364007149
80,2018-09-26,-0.04191718468697986
81,2018-09-27,-0.032246055663889384
82,2018-09-28,0.13850268359253357
83,2018-10-01,0.1911925601750547
84,2018-10-02,-0.0024312825015195515
85,2018-10-03,-0.06793040417033376
86,2018-10-04,-0.025727069351230425
87,2018-10-05,-0.08804628207613283
88,2018-10-08,0.009057911775285308
89,2018-10-09,-0.12248039406312787
90,2018-10-10,0.21273334933618923
91,2018-10-11,-0.0671914491915101
92,2018-10-12,-0.1108952909491553
93,2018-10-15,0.014282829395458134
94,2018-10-16,0.03511375771507177
95,2018-10-17,-0.15433037821958767
96,2018-10-18,-0.023778508363831854
97,2018-10-19,-0.009065299811492598
98,2018-10-22,0.08068825478251576
99,2018-10-23,0.003144778481012658
100,2018-10-24,0.19891953705711862
101,2018-10-25,-0.040882778581765554
102,2018-10-26,-0.2485340008916018
103,2018-10-29,0.3094895840463641
104,2018-10-30,-0.1230158038716872
105,2018-10-31,-0.034312848940017085
106,2018-11-01,0.09287301456670233
107,2018-11-02,-0.13432358146014534
108,2018-11-05,0.09394776330382967
109,2018-11-06,-0.1237898336083335
110,2018-11-07,0.15525456030492785
111,2018-11-08,-0.12535595750112924
112,2018-11-09,-0.023643793784803305
113,2018-11-12,0.04882367821907412
114,2018-11-13,-0.13544270490724905
115,2018-11-14,0.05701387303761191
116,2018-11-15,-0.016843822731962475
117,2018-11-16,-0.06740695546064673
118,2018-11-19,0.18723994452149792
119,2018-11-20,-0.10205431140892259
120,2018-11-21,-0.2572536697923315
121,2018-11-23,-0.26283957961530835
122,2018-11-26,0.7623402824478817
123,2018-11-27,-0.18967666437711467
124,2018-11-28,0.14155652528804194
